word,count
lagos,954
faith,954
fuel,953
featured,953
regulations,952
materials,951
regions,950
van,950
fewer,949
chair,949
comfortable,949
achieve,949
positions,949
except,948
fill,948
connected,948
matches,948
harris,948
surge,948
possibly,948
michigan,948
increasingly,947
powers,947
ireland,946
deadly,946
hurt,945
apartment,945
politicians,944
index,944
affect,944
lawyer,944
victoria,942
listed,942
false,942
singh,941
legislation,941
weekly,941
franchise,940
views,940
employee,939
korea,939
busy,938
nursing,937
seats,937
draw,937
combat,936
disney,936
transportation,936
window,935
images,935
entirely,934
broken,934
japanese,932
toronto,931
suggests,931
industrial,931
spreading,930
interests,929
volunteers,929
studio,929
parks,928
nearby,928
struggle,927
worry,927
garden,926
exposed,926
truck,926
machine,925
spirit,925
significantly,924
hong,924
cool,924
poll,924
temporary,922
mom,922
tweet,922
wedding,921
factors,921
boston,920
hopefully,920
edge,920
nba,920
wonder,919
lifted,918
weapons,918
unlike,918
operate,918
champion,918
colleagues,917
transition,917
advised,917
fraud,916
alcohol,916
employment,916
electric,915
guests,914
proper,914
officially,914
roads,914
vegas,913
visited,913
estimates,913
speaker,912
wins,911
aside,911
appropriate,910
participants,910
forget,910
remove,909
steve,908
holds,908
contain,908
roughly,908
prove,906
cancelled,905
notes,905
pull,905
tonight,905
suggest,905
tools,904
plants,904
discussed,904
obama,903
offensive,902
perform,902
ryan,901
assist,900
combined,900
tree,900
relatively,898
holdings,896
identity,896
slightly,895
cap,895
adds,895
conflict,895
cabinet,894
represents,894
wake,893
bid,893
leads,893
expand,892
st,892
nobody,891
junior,891
rare,890
maine,890
sees,890
knowing,889
closely,889
jackson,888
discussion,888
temperatures,888
corruption,887
virginia,887
leaves,887
trend,887
kitchen,886
familiar,883
crucial,883
filled,883
pushing,882
advanced,882
electoral,881
wealth,881
manufacturing,881
express,880
crimes,880
begins,879
aircraft,878
expert,876
drama,876
neither,876
historic,875
trees,875
pictures,875
defeat,875
stuck,874
user,874
hate,873
rich,873
granted,873
cards,873
returns,872
resume,872
representatives,871
taxes,871
sounds,870
nationwide,870
communication,870
communications,869
pennsylvania,868
values,868
adults,868
internal,867
likes,867
industries,867
breaking,866
inspired,865
ohio,865
teaching,865
bed,864
carrying,864
impossible,864
surrounding,863
apparently,863
organisation,862
talked,862
professionals,860
intended,860
consumer,860
las,860
defensive,859
medicine,859
ministers,857
hollywood,855
regardless,855
retired,855
democrat,854
properties,854
managing,853
lawmakers,853
strategic,853
troops,853
moves,852
quarterback,852
mountain,852
transfer,852
worker,851
zero,851
panel,851
christian,851
museum,851
brands,851
author,850
sad,849
queen,849
connect,849
flu,848
agriculture,847
snow,847
explain,846
sleep,846
deeply,846
nuclear,845
vaccines,844
types,844
pieces,844
ben,843
highway,843
charles,843
cuts,842
fears,842
champions,842
rent,842
dividend,842
tomorrow,842
roles,842
unprecedented,842
stations,841
falls,841
participate,841
improved,841
suit,841
territory,841
plane,840
neighborhood,839
advance,839
manchester,838
technologies,838
william,836
exposure,836
shops,836
baseball,836
golf,835
actors,835
vital,835
suspected,835
disaster,834
household,834
donations,833
mix,833
fake,833
arms,833
utah,832
bodies,832
gift,832
districts,831
youtube,831
footage,830
safely,830
racial,829
squad,829
instance,828
cook,827
memory,827
background,827
causing,826
library,826
gathering,825
protocols,825
enjoyed,824
till,824
fees,824
resolution,823
surface,823
normally,823
aimed,822
nurses,822
solid,822
republic,822
engaged,821
minimum,821
estimate,820
temperature,820
survive,818
kim,818
meals,818
jack,817
writer,817
alive,817
structure,817
permanent,816
consequences,815
jersey,814
scotland,814
falling,813
forest,813
awareness,813
incredibly,813
wuhan,812
agent,811
relationships,811
effectively,811
dogs,811
empty,811
wisconsin,810
nhs,810
chances,810
hits,810
heads,809
clinical,809
violent,809
excellent,808
thinks,808
kevin,807
throw,807
matt,806
confident,806
promised,805
forecast,804
arizona,804
